Time,Open,High,Low,Close,Volume,Symbol,Candle,pctB,mavg_SMA,Returns,index,Roll_SD,BB_Up,BB_Down,mavg_20,BB_Up_SMA,BB_Down_SMA,BB_Width,BB_Width_SMA,BB_Width_Ratio,mavg_50,Distance_to_MAs,RSI,atr,DIp,DIn,ADX,Max_Min_Range,Rel_Body,Rel_Candle,Ratio_SMA,Diff_ADX_DI,Diff_DIp_DIn,PVO,Sig,PVO_Hist,Reg_Slope,R_Squared,Regression_R,Relative_Value_BB_Width,Relative_Value_BB_Width_SMA,Relative_Value_atr,Relative_Value_Volume,Relative_Value_ADX,Relative_Value_RSI,Rel_BBW_Ratio,Pct_Rank_BB_Width,Pct_Rank_BB_Width_SMA,Pct_Rank_atr,Pct_Rank_Volume,Pct_Rank_ADX,Pct_Rank_RSI,Roll_LM_R_BB_Width,Roll_LM_R_atr,Roll_LM_R_RSI,Roll_LM_R_ADX,Local_Max_ADX,Local_Min_ADX,Local_Max_BB_Width,Local_Min_BB_Width,CS_Reversals,atr_Compression,BB_Width_Compression,ADX_Compression,BTC_Normalized_pctB,BTC_Normalized_Returns,BTC_Normalized_BB_Width,BTC_Normalized_RSI,BTC_Normalized_atr,BTC_Normalized_ADX,Past_Quantile_Returns,Past_Quantile_atr,Past_Quantile_BB_Width,Past_Quantile_ADX,Past_Quantile_pctB,Past_Quantile_RSI,Past_Quantile_Relative_Value_atr,Past_Quantile_Relative_Value_BB_Width,Past_Quantile_Relative_Value_ADX,Past_Quantile_Relative_Value_RSI,Past_Quantile_BTC_Normalized_Returns,Past_Quantile_BTC_Normalized_atr,Past_Quantile_BTC_Normalized_BB_Width,Past_Quantile_BTC_Normalized_ADX,Past_Quantile_BTC_Normalized_pctB,Past_Quantile_BTC_Normalized_RSI,Nrow
2024-02-27 19:30:00,0.6159,0.6176,0.6159,0.6174,779463.2,ADA,5_Min,0.818506326072521,0.614115,0.00259487657765878,149,0.00239068427041236,0.619103170746255,0.609718982805159,0.00486469619001295,0.618769578391219,0.609460421608781,0.0152734680343691,0.0151586539694316,1.00757415962981,0.00158797574094205,0.0032263359654775,57.2401413447556,0.00338858328357308,26.1154121253579,18.5567385498823,17.9004691895263,0.0129571920616697,0.00168967648529626,0.0030325594755319,0.507508656755876,-0.656269360356017,7.55867357547555,1.60619006865359,-3.65809876276175,5.26428883141533,0.0011504746198188,0.833809246240392,0.91313156027858,0.927331159931216,0.961684051313533,0.866188650576678,1.41276680214281,0.870262692977804,1.25782099232222,0.964278401689832,0.63,0.66,0.3,0.73,0.49,0.89,0.392115975004722,-0.933585604080971,0.941719725345175,-0.672446068761845,FALSE,FALSE,FALSE,FALSE,0,0.00293515238176485,0.0141635628284839,15.5781105224434,1.37844836466873,4.72913256071082,1.49236201995866,1.09624352096627,1.24491520634641,1.81037050169998,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,104948
2024-02-27 19:30:00,0.614,0.6176,0.6134,0.6174,2603140.8,ADA,15_Min,0.520537511100028,0.61851,0.00552218392091636,149,0.00470733137549731,0.628024334660828,0.605865490315771,0.000737646915451418,0.629138057207223,0.607881942792777,0.0359170549858096,0.0343666463184842,1.04511376096921,-0.00174335572736128,-0.000502854405954933,49.3939810227521,0.00745768389021547,15.0735977439907,21.8794833565702,29.8897115977136,0.0174543059443439,0.00381362002959488,0.00709964803762123,0.385471508750618,14.8161138537229,-6.8058856125795,-1.79260329186456,-0.645223966487215,-1.14737932537735,0.000114851135242903,0.00864114532994036,0.092957761030283,1.44032576237284,1.4233066045229,0.920042646289225,1.24455652210007,1.49024140601584,1.07127547664348,1.01195747830851,0.89,0.91,0.79,0.83,0.69,0.33,0.981974708047147,-0.92440915449412,0.403520269615962,0.965756095179067,TRUE,FALSE,TRUE,FALSE,0,0.00686138722154236,0.0517322596046236,44.5428858367846,0.797423722783319,7.04991888533856,3.04719214218085,0.918033210108198,1.35274765135362,2.15901461054313,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.95,0.5,0.5,0.5,0.5,0.5,0.5,0.5,35102
2024-02-27 19:30:00,0.6111,0.6176,0.6107,0.6174,4125261.2,ADA,30_Min,0.429742685127879,0.619775,0.0104201528964635,149,0.00608746851397763,0.62709916559354,0.61009076370094,-0.00193174001654128,0.627945159117178,0.611604840882822,0.0274952155523924,0.0263649199053771,1.04287119593277,0.0028218144679748,0.00044503722571676,48.4559220586678,0.0106479476521984,14.207775925941,23.9683044014335,22.4343198586819,0.0354026016795654,0.00455503021753817,0.0104261610258299,0.398188268582084,8.2265439327409,-9.76052847549251,0.635527067580991,1.73925590466902,-1.10372883708803,-0.00248844126397339,0.666055877715628,-0.816122464892342,1.25996132941693,1.32155213292344,1.17672774904175,1.03812889941902,1.0595660215769,0.948804639195618,0.953395101129868,0.66,0.62,0.94,0.73,0.45,0.31,0.968778031848106,0.611022364714251,-0.776850509648099,0.51825376456897,FALSE,FALSE,FALSE,FALSE,0,0.0125297354726858,0.0346429083399975,23.7706430394473,0.553045966104948,2.61495719737032,1.49004556082672,0.814419662533852,1.30619390024618,0.69410100378279,0.968,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,17519
2024-02-27 19:30:00,0.52329,0.5247,0.52185,0.52203,219750,ALT,5_Min,0.656718139197674,0.519918,-0.00181816492034159,149,0.00404794915148024,0.525265384175015,0.515840522146322,0.00283745741977492,0.524456099161543,0.515379900838457,0.0181054818178763,0.0174569803759179,1.0371485461972,-0.000587463589779014,0.00112499691499796,52.7432657242913,0.00618061387363468,26.0761720984458,18.6050904929947,12.6020963714259,0.0215553266341426,0.00304792045587526,0.00607909017957286,0.506440404414946,-6.00299412156882,7.47108160545113,-18.8328581724559,-14.2136672972776,-4.61919087517829,0.00120334428705869,0.56439842519918,0.751264550767194,0.753022689266092,0.748061507439609,0.855533542983503,0.556672841787625,0.900177102114892,1.07612951898218,1.00663205067651,0.22,0.25,0.39,0.04,0.1,0.85,-0.362117044464588,-0.628118521834301,0.763437522871624,0.467409344039651,FALSE,FALSE,FALSE,FALSE,0,0.00528772248512367,0.0136338386089556,11.3441185922027,1.10598051131632,-3.31358454562315,1.76907650294282,1.01012090408044,2.27066580690031,1.27451762793785,0.5,0.5,0.5,0.04,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,8279
2024-02-27 19:30:00,0.52361,0.52558,0.52185,0.52203,898626,ALT,15_Min,0.447426762602621,0.521853,-0.00281197281499479,149,0.00748226628424508,0.531193872559256,0.514609876196316,-0.00166737665422134,0.529875261775834,0.513830738224167,0.0317153125195317,0.0307452933137628,1.03155016918751,-0.00777653180499849,-0.00472195422960992,47.4246682466636,0.0133592918926222,14.2281496788914,20.0279648873493,25.7697940585726,0.0326954061382483,0.00752859493259521,0.0122951387411272,0.562200979159699,11.5416443796812,-5.79981520845793,-21.99645360126,-18.8605849663971,-3.13586863486291,0.00129181011886541,0.427598956841372,0.653910511374745,0.673083024384349,0.662057492865873,0.96790446366087,0.603583209843374,1.15182968542872,1.12813596316278,1.01665343514315,0.19,0.21,0.51,0.24,0.67,0.42,-0.912280958998728,-0.856956882033758,0.826829726157291,0.544953705416891,FALSE,FALSE,FALSE,FALSE,0,0.0129305182542175,0.0213470384699412,29.6824137840485,0.685423638257088,-3.58991669553099,2.6907175751049,0.881431695265593,2.42323903741783,1.86142183745265,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2719
2024-02-27 19:30:00,0.51711,0.52558,0.51603,0.52203,1787974,ALT,30_Min,0.376536818639127,0.5292405,0.00954679563407357,149,0.00949640608359771,0.543997168920967,0.50876306115374,-0.00826420853121501,0.54590283414021,0.51257816585979,0.0669366238592165,0.0629669654541165,1.06304350823437,-0.000863852358010675,-0.00456403044461284,46.8933540459972,0.0197657136564435,17.191440503429,18.935276676404,10.3663959469909,0.044189884858726,0.00624583315605697,0.0196671112343738,0.329664017169539,-6.82504455643815,-1.74383617297492,-28.374126762309,-23.4718867027364,-4.90224005957262,-0.00151053666369926,0.384737500228941,-0.620272117894866,0.499771612804287,0.51770366166566,0.832368300275166,0.481064334263535,0.469961213559399,0.953009405177028,0.965362329476908,0.6,0.6,0.7,0.33,0.05,0.51,-0.936343596802275,-0.566994348707322,-0.382378604468325,-0.913143184519344,FALSE,FALSE,TRUE,FALSE,0,0.0164523534799395,0.0334530244617945,4.87180401948508,0.484574085481857,2.39578653050444,3.62748999178059,0.788156905382629,2.42467895742603,0.320728503370771,0.5,0.5,0.5,0.00839,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.00839,0.5,0.5,1326
2024-02-27 19:30:00,1.8909,1.8937,1.8901,1.8904,90665.1,ARB,5_Min,0.512385961234279,1.88977,-0.000264459314476051,149,0.00199653067099624,1.9006277484387,1.87965265825346,0.000137448350900238,1.90023137658246,1.87930862341754,0.0110971081129927,0.0110715871057938,1.00230509022375,-0.00435920667677781,-0.00211087916293878,48.3797755858867,0.00303532032350492,20.3152020690529,25.3815218514707,25.4728489108776,0.00974856168761985,0.00140753056946199,0.00251165828751901,0.565620757883477,5.15764684182476,-5.06631978241785,-12.1042232138959,-4.82523429896149,-7.27898891493441,0.000502378845572985,0.450184575606189,0.670957953687884,0.70691987635191,0.742608819372915,0.842161425202861,0.403732961655096,0.80667079648522,1.08789316957474,0.951941126889468,0.29,0.29,0.3,0.04,0.3,0.61,-0.521292521592204,-0.915643414887141,0.803030253309122,-0.698341091324862,FALSE,FALSE,TRUE,FALSE,0,0.00255622968959012,0.00784476629510058,20.5482033196853,0.862910362259106,-0.481974042942868,1.08429222766822,0.926552840119591,1.11513163780915,2.57620589573683,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.02048,0.5,0.97952,0.5,0.5,96354
2024-02-27 19:30:00,1.8917,1.8955,1.8897,1.8904,296207.9,ARB,15_Min,0.332019955237704,1.90226,-0.000740309906371972,149,0.00408205630003997,1.93217393143254,1.8696362377393,-0.00552635934908285,1.93341120543414,1.87110879456586,0.0328989038960135,0.0327517851756753,1.0044919298154,-0.0113398886171784,-0.00843312398313062,40.3330548831425,0.00689637872111578,8.05907338473046,24.8385826590656,47.7176698067773,0.0189194983385144,0.00220261221471139,0.00591182153949055,0.344454838452723,39.6585964220468,-16.7795092743351,-2.68295579209284,2.49377869617286,-5.1767344882657,9.20119519239527e-05,0.0101001109077862,0.100499307878763,1.03562080230852,1.09458441375147,0.916367187660495,0.335887470946211,1.71280869336737,1.02495606591986,0.946131508267268,0.66,0.71,0.75,0.04,0.93,0.15,-0.861715261584289,-0.923033912338339,0.531066748257528,0.991059615581168,FALSE,FALSE,FALSE,FALSE,0,0.00631961517371055,0.0340707892478605,81.7312396722818,0.508629220946046,-0.945119696243097,2.79113311149543,0.749627446121136,1.25093262937495,3.44677619110201,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.98362,0.5,0.5,0.032,0.5,0.99463,0.5,0.04,32238
2024-02-27 19:30:00,1.8833,1.8955,1.8772,1.8904,1579569.7,ARB,30_Min,0.277761085185121,1.91825,0.00370979279673522,149,0.0050812895572496,1.95404853268496,1.86592183197779,-0.0102541017137469,1.95909544038201,1.87740455961799,0.0461399918294614,0.0425861492318582,1.0834506679215,-0.0105013890447094,-0.0103777453792281,39.2988562617093,0.00992096750460324,9.23626107953839,28.0331682581147,30.9963603051755,0.0383213634901919,0.00312305045018759,0.0101185738377542,0.376596704755984,21.7600992256371,-18.7969071785763,6.32335109061179,9.19413385002465,-2.87078275941286,-0.00260134138682039,0.777887487310978,-0.881979300941101,1.80848020613323,1.72971662168819,1.19183528036835,0.987708743140901,1.89569122164895,0.808174984669515,1.04553554232956,0.69,0.67,0.92,0.78,0.57,0.15,0.977636486992121,0.694416242352417,-0.795197545184643,0.948944985995813,FALSE,FALSE,FALSE,FALSE,0,0.0118241590873741,0.0834432619347298,58.7595281335891,0.357457271569039,0.930979561525216,2.50046012081866,0.660512892848819,1.21701455175523,0.95900410339872,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.99463,0.5,0.5,0.0256,0.5,0.5,0.5,0.01638,16091
2024-02-27 19:30:00,11.405,11.442,11.4,11.417,20193.62,ATOM,5_Min,0.804100176177201,11.11635,0.00105161695783895,149,0.00429086407906146,11.5701235085349,10.7884816185788,0.0212622777755376,11.48633501321,10.74636498679,0.069918663128784,0.0665659165481466,1.05036731640602,0.0303377314799778,0.0258000046277577,82.6538187537656,0.00498436700939448,50.7299641462995,7.27457081714494,53.3284378556002,0.0436565803864383,0.0022840450902166,0.00438857752128076,0.698388152420676,46.0538670384552,43.4553933291546,21.8307016565214,30.7777032287934,-8.94700157227203,0.00396856362518687,0.835219034930324,0.913903186860316,2.35267331143774,2.3745438251909,1.20990918908318,0.454342316546388,1.86236176153169,1.30633420056194,0.990789593554289,1,1,0.91,0.75,1,1,0.984083687366419,0.360679134930425,0.82473626558662,0.996371228683959,FALSE,FALSE,FALSE,FALSE,0,0.00603063144642941,0.164495772714496,99.3168434644886,1.35418693487666,1.91655974682192,6.83171347233523,1.58295753929401,1.83118246321028,5.39339107669913,0.5,0.5,0.99656,0.97952,0.5,0.9978,0.5,0.99161,0.99463,0.5,0.5,0.5,0.9744,0.99981,0.5,0.98362,104948
